question,short,answer_categories,branch
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Konventioneller Pkw (Benzin/Diesel) oder Hybrid-Pkw]",duration_work_ice,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Vollelektrisches Privatfahrzeug (E-Auto)]",duration_work_ev,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Taxi oder Ride-Hailing-Dienste (z. B. Uber, Bolt)]",duration_work_taxi,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Carsharing-Dienste]",duration_work_carsh,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Motorräder oder Vespa]",duration_work_motor,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Eigene Fahrräder]",duration_work_bike,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Eigenes Elektrofahrrad (E-Bike)]",duration_work_ebike,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Bike-Sharing-Dienste]",duration_work_bikesh,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Eigener Motorroller]",duration_work_scooter,de_duration,no
"Bitte geben Sie an, wie lange Sie im Durchschnitt mit jedem der folgenden Verkehrsmittel zur Arbeit, zur Schule oder zur Universität pendeln. [Scooter-Sharing-Dienste]",duration_work_scootersh,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Gehen]",duration_services_walk,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Öffentliche Verkehrsmittel (z. B. Bus, Straßenbahn, U-Bahn)]",duration_services_pt,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Konventioneller Pkw (Benzin/Diesel) oder Hybrid-Pkw]",duration_services_ice,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Vollelektrisches Privatfahrzeug (E-Auto)]",duration_services_ev,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Taxi oder Ride-Hailing-Dienste (z. B. Uber, Bolt)]",duration_services_taxi,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Carsharing-Dienste]",duration_services_carsh,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Motorräder oder Vespa]",duration_services_motor,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Eigene Fahrräder]",duration_services_bike,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Eigenes Elektrofahrrad (E-Bike)]",duration_services_ebike,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Bike-Sharing-Dienste]",duration_services_bikesh,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Eigener Motorroller]",duration_services_scooter,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit jedem der folgenden Verkehrsmittel verbringen, um Dienstleistungen (z. B. Lebensmitteleinkäufe, medizinische Einrichtungen) zu erreichen. [Scooter-Sharing-Dienste]",duration_services_scootersh,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Gehen]",duration_leisure_walk,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Öffentliche Verkehrsmittel (z. B. Bus, Straßenbahn, U-Bahn)]",duration_leisure_pt,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Konventioneller Pkw (Benzin/Diesel) oder Hybrid-Pkw]",duration_leisure_ice,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Vollelektrisches Privatfahrzeug (E-Auto)]",duration_leisure_ev,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Taxi oder Ride-Hailing-Dienste (z. B. Uber, Bolt)]",duration_leisure_taxi,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Carsharing-Dienste]",duration_leisure_carsh,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Motorräder oder Vespa]",duration_leisure_motor,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Eigene Fahrräder]",duration_leisure_bike,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Eigenes Elektrofahrrad (E-Bike)]",duration_leisure_ebike,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Bike-Sharing-Dienste]",duration_leisure_bikesh,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Eigener Motorroller]",duration_leisure_scooter,de_duration,no
"Bitte geben Sie an, wie viel Zeit Sie durchschnittlich mit folgenden Verkehrsmitteln für Ihre Freizeitgestaltung (einschließlich Treffen mit Freunden und Familie, Sport) aufwenden. [Scooter-Sharing-Dienste]",duration_leisure_scootersh,de_duration,no
Wie oft entscheiden Sie sich für aktive Mobilität (Gehen oder Radfahren)?,freq_activemob,de_freq,no
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Entfernung (das Ziel ist zu weit entfernt)]",prevent_distance,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Mangel an sicheren Fuß- und Radwegen]",prevent_safety,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Zeitliche Einschränkung]",prevent_time,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Wetterbedingungen]",prevent_weather,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Gesundheitliche oder körperliche Einschränkungen]",prevent_physical,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Unannehmlichkeiten (z. B. das Tragen von Lebensmitteln, Habseligkeiten)]",prevent_inconvenience,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Mangelndes Wissen über Fuß- und Radwege und deren Beschilderung]",prevent_knowledge,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Fehlende Annehmlichkeiten (z. B. Fahrradständer, Beleuchtung, Rastplätze)]",prevent_amenities,de_importance,never
"Was sind die Hauptgründe, die Sie davon abhalten, zu Gehen oder das Fahrrad als Verkehrsmittel zu wählen? [Luftverschmutzung oder Umweltbedingungen]",prevent_pollution,de_importance,never
"Bitte geben Sie sonstige Faktoren an, die Sie davon abhalten, mit dem Fahrrad zu fahren oder zu Fuß zu gehen, und geben Sie an, wie wichtig sie sind.",prevent_other,NA,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verkehrsberuhigung (z. B. 20-km/h-Zonen, Einbahnverkehr)]",improve_calming,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Sicherheit (z. B. bessere Beleuchtung)]",improve_safety,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Geschützte Fahrradspuren]",improve_protectedbl,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Fußgängerzonen (autofreie Zonen)]",improve_pedestrianz,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Breitere Gehwege]",improve_sidewalk,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Intelligente Ampeln, die grün werden, wenn sich ein Radfahrer der Kreuzung nähert]",improve_connection,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Weniger Autoparkplätze]",improve_parking,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Zugang zu Dienstleistungen und Einrichtungen des täglichen Bedarfs in der Nachbarschaft]",improve_sercvices,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Parks, grüne Wege (z. B. baumgesäumte Alleen, Grünanlagen, Parkkorridore, Naturpfade)]",improve_green,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Bessere Ausstattung (z. B. Fahrradständer, Rastplätze)]",improve_amenities,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserter Zugang zu gemeinsam genutzten Mikromobilitätsdiensten (z. B. mehr Andockstationen, Bike-Sharing-Stationen, E-Scooter-Stationen und bessere Geschäftspläne/Apps)]",improve_shared,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Wasserbewirtschaftung zur Vermeidung von Straßenüberschwemmungen und Pfützen]",improve_water,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Luftqualität]",improve_air,de_agree,never
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Bessere Beschilderung und Information]",improve_info,de_agree,never
"Bitte geben Sie zusätzliche Verbesserungen oder Veränderungen an, die Sie dazu ermutigen würden, die aktive Mobilität häufiger zu nutzen, und geben Sie an, wie wichtig diese sind.",improve_other,NA,never
"Wie wahrscheinlich ist es, dass Sie auf aktive Mobilität umsteigen, wenn die Infrastruktur und die Dienstleistungen (wie in der vorherigen Frage erwähnt) verbessert werden?",switch_improve,de_likeliness,never
"Was ist Ihre Priorität, wenn Sie Ihre Route zum Radfahren oder zu Fuß wählen? [Grüne Routen (z. B. Alleen mit Bäumen, Greenways, Parkkorridore, Naturpfade)]",priority_green,de_importance,always
"Was ist Ihre Priorität, wenn Sie Ihre Route zum Radfahren oder zu Fuß wählen? [Sicherheit (z. B. verkehrsarme, sichere Rad-/Fußgängerwege, gut beleuchtet)]",priority_safety,de_importance,always
"Was ist Ihre Priorität, wenn Sie Ihre Route zum Radfahren oder zu Fuß wählen? [Landschaftliche oder angenehme Umgebung (z. B. angenehme Umgebungen und Landschaften wie historische Gebiete, Parks, Flussuferwege oder grüne Pfade)]",priority_scenic,de_importance,always
"Was ist Ihre Priorität, wenn Sie Ihre Route zum Radfahren oder zu Fuß wählen? [Kürzeste Entfernung]",priority_distance,de_importance,always
"Was ist Ihre Priorität, wenn Sie Ihre Route zum Radfahren oder zu Fuß wählen? [Schnellste Reisezeit]",priority_time,de_importance,always
"Was ist Ihre Priorität, wenn Sie Ihre Route zum Radfahren oder zu Fuß wählen? [Zugang zu Dienstleistungen und Annehmlichkeiten (z. B. öffentliche Verkehrsmittel, Geschäfte, Rastplätze)]",priority_amenities,de_importance,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Verbesserte Gesundheit und Fitness]",outcome_health,de_agree,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Geringere Klima- und Umweltbelastung]",outcome_environment,de_agree,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Kosteneinsparung]",outcome_cost,de_agree,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Bequemlichkeit und Zeiteffizienz]",outcome_comforttime,de_agree,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Verbessertes Wohlbefinden und psychische Gesundheit]",outcome_wellbeing,de_agree,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Verstärkte soziale Interaktion oder Engagement in der Gemeinschaft und sozialer Zusammenhalt]",outcome_social,de_agree,always
"Was sind Ihrer Meinung nach die wichtigsten gewünschten Ergebnisse, wenn Sie sich für das Gehen und Radfahren als tägliches Verkehrsmittel entscheiden? [Geringere Verkehrsüberlastung]",outcome_congestion,de_agree,always
"Bitte geben Sie alle anderen Maßnahmen an, die Sie als die wertvollsten Ergebnisse der Wahl des Gehens und Radfahrens als tägliches Verkehrsmittel betrachten, und geben Sie an, wie wichtig diese sind.",outcome_other,NA,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verkehrsberuhigung (z. B. 20-km/h-Zonen, Einbahnverkehr)].1",improve_calming,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Sicherheit (z. B. bessere Beleuchtung)].1",improve_safety,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Geschützte Fahrradspuren].1",improve_protectedbl,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Fußgängerzonen (autofreie Zonen)].1",improve_pedestrianz,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Breitere Gehwege].1",improve_sidewalk,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Intelligente Ampeln, die auf Grün schalten, wenn sich ein Radfahrer der Kreuzung nähert]",improve_connection,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Weniger Parkplätze]",improve_parking,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Zugang zu Dienstleistungen und Einrichtungen des täglichen Bedarfs in der Nachbarschaft].1",improve_sercvices,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Parks, grüne Wege (z. B. baumbestandene Alleen, grüne Wege, Parkkorridore, Naturpfade)]",improve_green,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Bessere Ausstattung (z. B. Fahrradständer, Rastplätze)].1",improve_amenities,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserter Zugang zu gemeinsam genutzten Mikromobilitätsdiensten (z. B. mehr Andockstationen, Bike-Sharing-Stationen, E-Scooter-Stationen und bessere Geschäftspläne/Apps)].1",improve_shared,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Wasserbewirtschaftung zur Vermeidung von Straßenüberschwemmungen und Pfützen].1",improve_water,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Luftqualität].1",improve_air,de_agree,always
"Welche Verbesserungen oder Veränderungen würden Sie ermutigen, sich häufiger aktiv zu bewegen? [Verbesserte Beschilderung und Information]",improve_info,de_agree,always
Wie beurteilen Sie den aktuellen Stand der aktiven Mobilitätsinfrastruktur in Ihrem Stadtteil/Quartier?,state_district,de_state,always
Wie beurteilen Sie den aktuellen Stand der Infrastruktur für aktive Mobilität in Ihrer Stadt?,state_city,de_state,always
"Wenn die Infrastruktur und die Dienstleistungen für aktive Mobilität verbessert werden, wie wahrscheinlich ist es dann, dass Sie mehr zu Fuß gehen und Rad fahren?",switch_improve_freq,de_likeliness,always
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Der Klimawandel führt zu einer Zunahme der Häufigkeit und Intensität von extremen Wetterereignissen.]",kn_env_climate,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Ohne sofortige Klimaschutzmaßnahmen zur Verringerung der Emissionen werden wir kritische Grenzwerte überschreiten, wodurch es sehr viel schwieriger wird, schwerwiegende Auswirkungen der globalen Erwärmung zu verhindern.]",kn_env_action,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Jedes Mal, wenn wir (benzin-/dieselbasierte) Autos benutzen, tragen wir durch die dabei ausgestoßenen Emissionen zur Beschleunigung des Klimawandels bei.]",kn_subj_car,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Aktive Mobilität trägt zur Verringerung der Luftverschmutzung und von Treibhausgasemissionen bei.]",kn_actm_air,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [In Städten mit einer besseren Infrastruktur für Fußgänger und Radfahrer werden häufig bessere Ergebnisse für die öffentliche Gesundheit erzielt.]",kn_actm_health,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Ich persönlich fühle mich für den Klimawandel verantwortlich.]",aw_env_climate,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Die Zukunft unseres Planeten hängt von den Entscheidungen ab, die wir heute treffen. Der Schutz der Natur und die Verringerung der Auswirkungen unseres Handelns auf das Klima sind eine Verantwortung, die wir uns selbst und künftigen Generationen schulden.]",aw_env_future,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Ich fühle mich gut, wenn ich ein umweltfreundliches Verkehrsmittel benutze.]",aw_subj_ecotrans,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Das von mir gewählte Verkehrsmittel hat einen erheblichen Einfluss auf die Umwelt und den Klimawandel.]",aw_subj_transmode,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Körperliche Bewegung, wie z. B. zu Fuß gehen und Radfahren, ist wichtig für meine Gesundheit.]",kn_subj_exercise,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Die schlechte Luftqualität in meiner Stadt hat sicherlich negative Auswirkungen auf meine Gesundheit.]",kn_health_air,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, wie sehr Sie ihr zustimmen oder nicht zustimmen. [Es fällt mir leicht, Gesundheitswarnungen und die Auswirkungen meines Mobilitätsverhaltens in der Stadt auf den Klimawandel zu verstehen.]",kn_health_warnings,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... es mir ermöglicht, meinen Einfluss auf den Klimawandel zu verringern.]",pn_eco_climate,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... ich die Natur respektiere und in Einheit mit ihr leben möchte.]",pn_eco_nature,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... ich das Klima und die Natur schützen möchte.]",pn_eco_protect,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [...es mehr körperliche Aktivität mit sich bringt und gut für meine Gesundheit ist.]",pn_health_activity,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... es einen gesünderen, aktiveren Lebensstil fördert.]",pn_health_lifestlye,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [...es mein geistiges Wohlbefinden verbessert.]",pn_health_wellbeing,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... es die soziale Interaktion verbessert und den Zusammenhalt der Gemeinschaft stärkt.]",pn_general_social,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... es zu einer ruhigeren, saubereren und angenehmeren städtischen Umwelt beiträgt.]",pn_general_urbanenv,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... es von meinen Mitmenschen als positives und verantwortungsvolles Verhalten angesehen wird.]",sn_peers,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [... es von meiner Gemeinschaft unterstützt/ermutigt wird.]",sn_community,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [...es etwas ist , was die meisten in meiner Familie und von meinen Freunde tun.]",sn_friends,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [...es etwas ist, dass die meisten meiner Kollegen tun.]",sn_colleagues,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [...es etwas ist, was die meisten meiner Nachbarn tun.]",sn_neighbors,de_agree,norms
"Bitte geben Sie für jede der folgenden Aussagen an, inwieweit Sie ihr zustimmen oder nicht zustimmen können. [...es etwas ist, dass die meisten Menschen in meiner Stadt tun.]",sn_city,de_agree,norms
